,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
68,2020-10-08,False,True,0.41,340,500,125,2cd,1,351.2307692,-0.0,351.2307692,427.01538460000006,-2697.6669216432483,-2697.6669216432483,-2266.0370730166596,0.0,0.0,431.6298486265887,12948.89545879766,-14049.230768,-14049.230768,-17080.615384000004,0.0,-3031.384616000005,0.07508006108857779,0.0,-0.0,125.05384620000001,302.01538460000006,255.36153849999997,172.2384615,43.82307692,0.0,0.8632596972531774,1
69,2020-10-09,False,True,0.41,340,500,125,2cd,1,405.4076923,-0.0,405.4076923,455.51538460000006,-2871.0854927842283,-2871.0854927842283,-2443.4007772694085,0.0,0.0,427.6847155148198,12830.541465444594,-16216.307692,-16216.307692,-18220.615384000004,0.0,-2004.307692000004,0.08914920741875831,0.0,-0.0,114.77692309999999,330.51538460000006,273.5692308,204.32307690000002,42.9,0.0,0.8553694310296396,0
70,2020-11-27,False,True,0.41,340,500,125,2cd,1,416.9923077,-0.0,416.9923077,529.1692308,-3402.9121884526076,-3402.9121884526076,-2930.45443104893,0.0,0.0,472.45775740367753,14173.732722110326,-16679.692308,-16679.692308,-21166.769232000002,0.0,-4487.076924000001,0.07091673596205639,0.0,-0.0,68.55384615,404.16923080000004,302.7923077,192.8153846,56.47142857,0.0,0.944915514807355,1
71,2020-11-28,False,True,0.41,340,500,125,2cd,1,328.8923077,-0.0,328.8923077,453.8923077,-2455.0128272732018,-2455.0128272732018,-2057.7872351416718,0.0,0.0,397.22559213153,11916.7677639459,-13155.692308,-13155.692308,-18155.692308,0.0,-5000.000000000002,0.02562660132956207,0.0,-0.0,66.76153846,328.8923077,194.76923080000003,187.7230769,41.10769231,0.0,0.7944511842630599,1
72,2020-11-29,False,True,0.41,340,500,125,2cd,1,69.24285714,-0.0,69.24285714,188.83846154,-779.056798587829,-779.056798587829,-615.6043724747867,0.0,0.0,163.4524261130423,4903.572783391269,-2769.7142856,-2769.7142856,-7553.5384616,0.0,-4783.824176,,0.0,-0.0,52.08461538,63.83846154,41.74615385,41.74615385,45.59230769,0.0,0.32690485222608456,0
73,2020-11-30,False,True,0.41,340,500,125,2cd,1,434.53846150000004,-0.0,434.53846150000004,557.0076923,-2998.6172529207415,-2998.6172529207415,-2569.9112922972354,0.0,0.0,428.70596062350614,12861.178818705184,-17381.538460000003,-17381.538460000003,-22280.307692000002,0.0,-4898.769231999999,0.04340534880969926,0.0,-0.0,176.6923077,432.00769230000003,267.7538462,225.7846154,55.77857143,0.0,0.8574119212470123,1
74,2020-12-01,False,True,0.41,340,500,125,2cd,1,435.11538459999997,-0.0,435.11538459999997,492.58461539999996,-3299.966079544211,-3299.966079544211,-2833.0382345972967,0.0,0.0,466.9278449469143,14007.835348407429,-17404.615383999997,-17404.615383999997,-19703.384616,0.0,-2298.7692320000024,0.10193538088655352,0.0,-0.0,131.1428571,367.58461539999996,324.4461538,251.37692310000003,64.52142857,0.0,0.9338556898938286,1
75,2020-12-02,False,True,0.41,340,500,125,2cd,1,370.6538462,-0.0,370.6538462,475.6307692,-3147.011215605521,-3147.011215605521,-2678.298939548992,0.0,0.0,468.71227605652894,14061.368281695868,-14826.153847999998,-14826.153847999998,-19025.230767999998,0.0,-4199.0769199999995,0.07373046483565537,0.0,-0.0,132.3769231,350.6307692,281.9461538,217.44615380000002,57.45384615,0.0,0.9374245521130579,1
76,2020-12-03,False,True,0.41,340,500,125,2cd,1,472.03846150000004,-0.0,472.03846150000004,597.0384615,-3320.712453767377,-3320.712453767377,-2849.8219541747726,0.0,0.0,470.89049959260456,14126.714987778138,-18881.538460000003,-18881.538460000003,-23881.538460000003,0.0,-5000.0,0.06200922162131084,0.0,-0.0,139.2615385,472.03846150000004,206.46923080000002,188.1846154,59.54615385,0.0,0.9417809991852091,1
77,2020-12-04,False,True,0.41,340,500,125,2cd,1,456.49230769999997,-0.0,456.49230769999997,541.3307692,-3374.0423287878657,-3374.0423287878657,-2910.159458121123,0.0,0.0,463.88287066674275,13916.486120002282,-18259.692307999998,-18259.692307999998,-21653.230767999998,0.0,-3393.5384599999998,0.08405053901775394,0.0,-0.0,63.43846154,416.33076919999996,299.6,263.3076923,59.0,0.0,0.9277657413334854,1
